[2018-06-28 21:27:17] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://test.test/setup/index.php/install/start","invalidateInfo":{"tags":["BACKEND_MAINMENU"],"mode":"matchingTag"}} []
[2018-06-28 21:27:18] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://test.test/setup/index.php/install/start","invalidateInfo":{"tags":["CONFIG"],"mode":"matchingTag"}} []
[2018-06-28 21:27:18] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://test.test/setup/index.php/install/start","invalidateInfo":{"tags":["LAYOUT_GENERAL_CACHE_TAG"],"mode":"matchingTag"}} []
[2018-06-28 21:27:18] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://test.test/setup/index.php/install/start","invalidateInfo":{"tags":["BLOCK_HTML"],"mode":"matchingTag"}} []
[2018-06-28 21:27:18] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://test.test/setup/index.php/install/start","invalidateInfo":{"tags":["COLLECTION_DATA"],"mode":"matchingTag"}} []
[2018-06-28 21:27:18] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://test.test/setup/index.php/install/start","invalidateInfo":{"tags":["REFLECTION"],"mode":"matchingTag"}} []
[2018-06-28 21:27:18] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://test.test/setup/index.php/install/start","invalidateInfo":{"tags":["DB_DDL"],"mode":"matchingTag"}} []
[2018-06-28 21:27:18] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://test.test/setup/index.php/install/start","invalidateInfo":{"tags":["EAV"],"mode":"matchingTag"}} []
[2018-06-28 21:27:18] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://test.test/setup/index.php/install/start","invalidateInfo":{"tags":["CUSTOMER_NOTIFICATION"],"mode":"matchingTag"}} []
[2018-06-28 21:27:18] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://test.test/setup/index.php/install/start","invalidateInfo":{"tags":["INTEGRATION"],"mode":"matchingTag"}} []
[2018-06-28 21:27:18] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://test.test/setup/index.php/install/start","invalidateInfo":{"tags":["INTEGRATION_API_CONFIG"],"mode":"matchingTag"}} []
[2018-06-28 21:27:18] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://test.test/setup/index.php/install/start","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"}} []
[2018-06-28 21:27:18] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://test.test/setup/index.php/install/start","invalidateInfo":{"tags":["TRANSLATE"],"mode":"matchingTag"}} []
[2018-06-28 21:27:18] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://test.test/setup/index.php/install/start","invalidateInfo":{"tags":["WEBSERVICE"],"mode":"matchingTag"}} []
[2018-06-28 21:27:18] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://test.test/setup/index.php/install/start","invalidateInfo":{"tags":["CONFIG"],"mode":"matchingTag"}} []
[2018-06-28 21:27:18] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://test.test/setup/index.php/install/start","invalidateInfo":{"tags":["LAYOUT_GENERAL_CACHE_TAG"],"mode":"matchingTag"}} []
[2018-06-28 21:27:18] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://test.test/setup/index.php/install/start","invalidateInfo":{"tags":["BLOCK_HTML"],"mode":"matchingTag"}} []
[2018-06-28 21:27:18] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://test.test/setup/index.php/install/start","invalidateInfo":{"tags":["COLLECTION_DATA"],"mode":"matchingTag"}} []
[2018-06-28 21:27:18] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://test.test/setup/index.php/install/start","invalidateInfo":{"tags":["REFLECTION"],"mode":"matchingTag"}} []
